light,sound,pir
770,315,0
768,315,0
770,318,0
768,313,0
770,316,0
768,317,0
768,318,0
768,321,0
768,316,0
770,316,0
769,315,0
768,317,0
768,318,0
765,315,0
768,317,0
770,314,0
768,318,0
769,317,0
768,321,0
768,316,0
768,317,0
770,313,0
770,315,0
768,313,0
768,316,0
768,319,0
769,315,0
768,316,0
769,315,0
768,317,0
768,318,0
768,316,0
768,316,0
768,319,0
768,317,0
768,315,0
768,318,0
768,319,0
768,319,0
770,315,0
769,317,0
770,314,0
768,316,0
769,318,0
768,321,0
768,316,0
768,318,0
768,315,0
768,316,0
766,317,0
769,318,0
768,317,0
768,321,0
768,317,0
768,318,0
768,316,0
768,315,0
768,317,0
768,317,0
768,319,0
768,318,0
768,317,0
768,319,0
768,318,0
768,318,0
768,316,0
768,319,0
770,319,0
766,317,0
768,319,0
768,317,0
770,318,0
768,317,0
768,315,0
768,319,0
768,319,0
770,318,0
769,317,0
766,321,0
770,316,0
768,317,0
768,322,0
768,319,0
769,317,0
768,319,0
768,319,0
768,317,0
770,316,0
770,317,0
772,319,0
769,320,0
769,318,0
770,322,0
770,318,0
770,317,0
768,318,0
770,316,0
770,335,0
769,316,0
769,317,0
770,315,0
771,316,0
770,319,0
769,316,0
771,332,0
770,320,0
770,315,0
770,330,0
770,317,0
770,319,0
770,318,0
771,321,0
771,318,0
772,315,0
771,318,0
772,320,0
770,324,0
771,315,0
769,316,0
770,321,0
771,319,0
769,318,0
769,317,0
770,316,0
770,320,0
770,316,0
771,320,0
770,319,0
770,320,0
769,317,0
770,317,0
770,319,0
769,318,0
770,318,0
770,319,0
770,318,0
770,319,0
770,319,0
770,318,0
769,322,0
770,319,0
769,320,0
770,324,0
769,319,0
768,320,0
770,317,0
770,319,0
770,320,0
770,319,0
769,319,0
770,319,0
769,318,0
770,317,0
770,319,0
770,320,0
768,319,0
768,318,0
770,320,0
769,320,0
769,319,0
770,318,0
769,320,0
769,323,0
769,319,0
768,318,0
770,341,0
766,324,0
771,321,0
769,319,0
771,320,0
771,320,0
770,318,0
768,319,0
769,319,0
770,318,0
771,318,0
769,322,0
771,318,0
769,325,0
770,319,0
771,319,0
771,319,0
772,320,0
769,318,0
770,318,0
770,320,0
771,321,0
769,321,0
770,318,0
770,319,0
771,321,0
769,319,0
770,320,0
769,320,0
770,319,0
770,318,0
771,337,0
771,320,0
769,319,0
769,319,0
771,344,0
770,320,0
769,321,0
772,321,0
770,319,0
770,323,0
770,320,0
770,321,0
771,320,0
770,320,0
770,320,0
770,319,0
770,323,0
770,326,0
770,321,0
770,318,0
771,320,0
771,320,0
769,319,0
772,319,0
770,320,0
770,319,0
770,320,0
769,322,0
770,321,0
770,321,0
770,320,0
770,321,0
768,320,0
769,321,0
769,324,0
769,325,0
769,321,0
769,321,0
771,321,0
770,321,0
770,323,0
770,323,0
769,321,0
770,321,0
768,319,0
770,321,0
769,321,0
770,325,0
770,320,0
771,319,0
769,320,0
770,321,0
769,322,0
770,321,0
770,319,0
770,322,0
770,322,0
769,322,0
769,324,0
769,321,0
769,322,0
771,322,0
768,329,0
772,326,0
770,325,0
770,325,0
770,321,0
771,324,0
770,320,0
770,322,0
770,320,0
766,323,0
770,326,0
770,321,0
768,320,0
769,340,0
770,324,0
770,324,0
769,326,0
770,324,0
769,322,0
770,322,0
771,323,0
770,321,0
769,322,0
770,322,0
770,325,0
768,323,0
770,322,0
769,321,0
770,322,0
769,323,0
771,321,0
770,328,0
770,325,0
770,323,0
770,323,0
771,323,0
771,326,0
772,323,0
770,321,0
769,417,0
771,322,0
771,321,0
772,323,0
770,321,0
770,322,0
769,327,0
771,323,0
771,324,0
771,323,0
772,323,0
769,323,0
769,323,0
770,324,0
769,324,0
769,324,0
770,324,0
769,326,0
770,323,0
769,323,0
769,324,0
769,324,0
770,326,0
769,326,0
769,324,0
771,323,0
770,325,0
770,324,0
770,323,0
769,324,0
770,325,0
769,328,0
769,326,0
772,328,0
769,324,0
769,326,0
770,326,0
769,326,0
770,323,0
769,324,0
769,329,0
769,325,0
770,323,0
770,323,0
768,328,0
769,329,0
770,323,0
770,331,0
770,325,0
769,326,0
768,322,0
768,322,0
770,327,0
770,328,0
768,326,0
771,323,0
770,323,0
768,324,0
770,326,0
770,329,0
771,328,0
770,323,0
769,325,0
ENTRY!
769,332,0
771,324,0
771,362,0
770,325,0
771,332,0
770,325,0
771,324,0
769,325,0
770,323,0
770,330,0
769,324,0
768,326,0
769,326,0
769,323,0
770,349,0
771,325,0
772,325,0
770,324,0
770,329,0
769,327,0
771,323,0
770,329,0
771,324,0
769,325,0
771,324,0
771,325,0
770,324,0
771,325,0
770,324,0
771,329,0
771,327,0
772,324,0
770,326,0
770,326,0
770,325,0
770,328,0
770,324,0
770,325,0
768,326,0
770,330,0
770,326,0
772,327,0
769,328,0
769,328,0
770,325,0
769,330,0
769,328,0
769,325,0
769,326,0
770,326,0
768,330,0
768,326,0
769,327,0
769,327,0
770,326,0
769,331,0
769,327,0
769,326,0
770,326,0
769,327,0
766,325,0
770,326,0
770,326,0
768,332,0
769,331,0
770,334,0
771,326,0
770,329,0
770,326,0
769,327,0
770,331,0
769,328,0
770,344,0
772,324,0
770,326,0
768,328,0
769,327,0
769,328,0
771,328,0
769,367,0
769,327,0
772,326,0
772,328,0
769,325,0
770,324,0
770,330,0
771,329,0
770,332,0
771,355,0
769,326,0
768,327,0
771,329,0
771,333,0
770,326,0
770,326,0
770,328,0
771,327,0
772,327,0
770,328,0
770,332,0
771,329,0
770,327,0
770,328,0
771,326,0
770,326,0
768,327,0
769,327,0
770,329,0
770,326,0
770,369,0
771,326,0
770,426,0
771,326,0
770,326,0
772,335,0
771,328,0
772,329,0
770,327,0
770,327,0
770,329,0
770,326,0
770,332,0
771,326,0
771,329,0
770,330,0
770,328,0
769,328,0
769,329,0
768,329,0
769,329,0
769,329,0
769,330,0
769,330,0
769,328,0
768,328,0
770,328,0
769,385,0
769,342,0
772,327,0
770,328,0
769,331,0
770,333,0
770,328,0
769,329,0
770,329,0
770,330,0
769,331,0
770,331,0
770,329,0
770,329,0
770,331,0
770,329,0
771,329,0
770,331,0
769,333,0
770,328,0
769,327,0
770,330,0
770,331,0
770,329,0
770,329,0
769,330,0
769,329,0
770,334,0
771,333,0
771,331,0
771,334,0
771,328,0
770,332,0
769,332,0
772,328,0
770,327,0
769,329,0
769,332,0
768,330,0
771,334,0
771,335,0
772,329,0
770,329,0
772,333,0
769,330,0
770,330,0
770,331,0
771,330,0
768,330,0
769,329,0
771,333,0
771,331,0
772,330,0
770,330,0
770,338,0
769,331,0
772,334,0
769,330,0
770,331,0
771,335,0
770,329,0
770,335,0
770,330,0
770,329,1
768,331,1
770,328,1
772,330,1
771,332,1
770,331,1
770,329,1
771,329,1
770,329,1
771,330,1
769,332,1
770,331,1
771,332,1
769,330,1
771,336,1
770,329,1
770,330,1
769,331,1
770,330,1
769,331,1
769,330,1
770,330,1
770,331,1
770,334,1
770,331,1
769,332,1
772,337,1
770,331,1
770,334,1
770,331,1
768,331,1
769,332,1
768,331,1
770,754,1
770,331,1
770,336,1
769,332,1
769,335,1
770,331,1
769,334,1
769,333,1
769,332,1
770,333,1
769,332,1
770,334,1
769,334,1
770,331,1
769,333,1
770,331,1
770,332,1
770,332,1
769,330,1
769,330,1
770,331,1
769,330,1
770,333,1
770,335,1
768,335,1
769,336,1
769,330,1
769,334,1
771,338,1
768,336,1
771,329,1
769,331,1
769,332,1
768,335,1
770,336,1
770,333,1
771,336,1
769,336,1
769,336,1
769,332,1
770,331,1
771,335,1
769,334,1
769,334,1
768,334,1
768,333,1
770,464,1
771,466,1
769,333,1
770,333,1
770,332,1
770,332,1
772,335,1
770,332,1
770,334,1
770,333,1
770,332,1
771,332,1
771,333,1
771,334,1
772,337,1
771,336,1
771,333,1
769,331,1
771,332,1
770,338,1
770,333,1
770,334,1
770,333,1
